filename,issue,usable,comments
2-18424778-6.html.csv,none,TRUE,
2-1458666-4.html.csv,BM,FALSE,
2-12164751-7.html.csv,none,TRUE,
2-15715109-9.html.csv,none,TRUE,
2-17245565-6.html.csv,none,TRUE,
2-10790804-13.html.csv,none,TRUE,
2-1123314-1.html.csv,none,TRUE,
2-14227676-3.html.csv,FM,FALSE,
2-17814838-6.html.csv,none,TRUE,
2-13913673-5.html.csv,AC,TRUE,
2-18379129-5.html.csv,none,TRUE,
2-13135264-6.html.csv,AC,TRUE,
2-18662679-7.html.csv,none,TRUE,
2-18842947-2.html.csv,none,TRUE,
2-1219456-1.html.csv,none,TRUE,
2-1122485-2.html.csv,AC,TRUE,
2-11025881-1.html.csv,AC,TRUE,
1-2897457-3.html.csv,none,TRUE,
2-13649804-1.html.csv,none,TRUE,
2-16023753-2.html.csv,none,TRUE,
2-13962594-1.html.csv,none,TRUE,
2-14611590-3.html.csv,none,TRUE,
2-1554464-3.html.csv,AC,TRUE,
2-1204658-17.html.csv,none,TRUE,
2-15205941-2.html.csv,BM,FALSE,
2-10808681-18.html.csv,none,TRUE,
2-10776330-14.html.csv,none,TRUE,
2-10747009-9.html.csv,none,TRUE,
2-11512626-6.html.csv,AC,TRUE,
2-12617978-7.html.csv,AC,TRUE,
2-12197750-6.html.csv,FM,FALSE,
2-12913985-5.html.csv,none,TRUE,
2-15780049-10.html.csv,none,TRUE,
1-24138601-2.html.csv,AR,TRUE,
2-13810690-10.html.csv,AC,TRUE,
2-12807827-2.html.csv,AC,TRUE,
2-15828727-6.html.csv,none,TRUE,
2-1123150-1.html.csv,AC,TRUE,
2-16806446-2.html.csv,BM,FALSE,
2-1172877-1.html.csv,none,TRUE,
2-17445673-2.html.csv,AC,TRUE,
2-12572989-1.html.csv,AC,TRUE,
2-1122902-1.html.csv,AC,TRUE,
2-12586672-1.html.csv,none,TRUE,
2-14255774-8.html.csv,AC,TRUE,
2-14320222-15.html.csv,AC,TRUE,
2-11965402-8.html.csv,none,TRUE,
2-12503727-1.html.csv,BM,FALSE,
2-12207449-2.html.csv,AC,TRUE,
2-1111175-9.html.csv,AC,TRUE,
2-13044634-2.html.csv,AC,TRUE,
2-12582968-1.html.csv,AR,TRUE,
2-10809271-4.html.csv,none,TRUE,
2-17751797-2.html.csv,none,TRUE,
2-11552877-1.html.csv,AC,TRUE,
2-14820149-3.html.csv,AC,TRUE,
2-10773753-1.html.csv,none,TRUE,
2-1137274-2.html.csv,FM,FALSE,
1-23314951-4.html.csv,none,TRUE,
2-10788451-14.html.csv,none,TRUE,
2-11128774-10.html.csv,AC,TRUE,
2-11964047-6.html.csv,AC,TRUE,
2-17505751-2.html.csv,AC,TRUE,
2-10776330-15.html.csv,none,TRUE,
2-1710991-1.html.csv,AC,TRUE,
2-1140095-1.html.csv,AC,TRUE,
2-1123180-2.html.csv,AC,TRUE,
2-16712803-2.html.csv,none,TRUE,
2-15198842-20.html.csv,none,TRUE,
1-2419754-1.html.csv,AR,TRUE,
2-17746881-1.html.csv,none,TRUE,
2-11636955-27.html.csv,none,TRUE,
2-17928444-1.html.csv,none,TRUE,
2-11452712-1.html.csv,none,TRUE,
2-16218498-1.html.csv,none,TRUE,
2-1140105-6.html.csv,none,TRUE,
2-17355716-9.html.csv,none,TRUE,
2-11916083-27.html.csv,none,TRUE,
2-1122338-1.html.csv,AC,TRUE,
2-1236238-1.html.csv,AC,TRUE,
2-1621212-1.html.csv,AC,TRUE,
2-10807990-7.html.csv,none,TRUE,
2-18912995-9.html.csv,FM,FALSE,
2-14347546-17.html.csv,AC,TRUE,
2-15211468-5.html.csv,none,TRUE,
2-10826385-9.html.csv,none,TRUE,
2-11522060-6.html.csv,AR,TRUE,
2-16073541-1.html.csv,AR,TRUE,
2-187504-13.html.csv,AR,TRUE,
1-23248940-9.html.csv,AR,TRUE,
2-15089329-1.html.csv,AC,TRUE,
2-10788451-2.html.csv,none,TRUE,
2-16351707-18.html.csv,none,TRUE,
2-15526447-1.html.csv,none,TRUE,
2-11677691-4.html.csv,none,TRUE,
2-11936264-2.html.csv,AC,TRUE,
2-11105214-2.html.csv,none,TRUE,
2-16045118-20.html.csv,AR,TRUE,
2-18048776-7.html.csv,none,TRUE,
2-18890652-1.html.csv,AC,TRUE,
2-14148130-1.html.csv,FM,FALSE,
2-10234157-2.html.csv,FM,FALSE,
2-18726561-4.html.csv,none,TRUE,
2-11344569-3.html.csv,none,TRUE,
2-12523044-5.html.csv,none,TRUE,
2-10883333-10.html.csv,none,TRUE,
2-10783853-3.html.csv,none,TRUE,
2-1715880-3.html.csv,FM,FALSE,
2-12167074-1.html.csv,AC,TRUE,
2-13041602-7.html.csv,AC,TRUE,
2-1137700-3.html.csv,none,TRUE,
2-10826385-8.html.csv,none,TRUE,
1-25887826-17.html.csv,AR,TRUE,
2-14272086-7.html.csv,AR,TRUE,
2-17455843-3.html.csv,AC,TRUE,
2-18732289-1.html.csv,none,TRUE,
2-18153721-5.html.csv,none,TRUE,
2-10918196-1.html.csv,none,TRUE,
2-1689029-2.html.csv,none,TRUE,
2-1204658-16.html.csv,none,TRUE,
2-16783017-5.html.csv,none,TRUE,
2-1140114-1.html.csv,AC,TRUE,
2-15427957-1.html.csv,AR,TRUE,
2-16512496-2.html.csv,AR,TRUE,
2-1517891-1.html.csv,AC,TRUE,
2-12207158-4.html.csv,AC,TRUE,
2-16593799-8.html.csv,FM,FALSE,Additional rows + Additional columns
2-17924362-1.html.csv,none,TRUE,
2-1097299-1.html.csv,AR,TRUE,
2-17760670-5.html.csv,AR,TRUE,
2-17311797-7.html.csv,none,TRUE,
2-13041602-6.html.csv,AC,TRUE,
2-14752049-4.html.csv,FM,FALSE,Entirely out of date
2-11963735-4.html.csv,AC,TRUE,
2-11630008-8.html.csv,none,TRUE,
2-1179778-1.html.csv,none,TRUE,
2-15194193-3.html.csv,AC,TRUE,Many additional columns
2-18598581-2.html.csv,AC,TRUE,
2-17455843-2.html.csv,AC,TRUE,
1-28059992-1.html.csv,AR,TRUE,
2-14175075-5.html.csv,none,TRUE,
2-16212245-1.html.csv,AC,TRUE,
2-15389424-1.html.csv,AC,TRUE,
2-1123236-2.html.csv,AC,TRUE,
2-18122130-2.html.csv,AC,TRUE,
2-10826072-12.html.csv,none,TRUE,
2-15621965-11.html.csv,FM,FALSE,Additional rows + additional columns
2-18662026-3.html.csv,AC,TRUE,
2-17684663-3.html.csv,AC,TRUE,
2-11737744-5.html.csv,FM,FALSE,
2-11867642-3.html.csv,AC,TRUE,
2-15957062-7.html.csv,none,TRUE,
1-27722734-12.html.csv,AR,TRUE,
2-10521952-3.html.csv,FM,FALSE,
2-18178608-9.html.csv,AC,TRUE,
1-25847911-1.html.csv,AR,TRUE,
2-14924851-1.html.csv,AC,TRUE,
2-1722194-5.html.csv,AC,TRUE,
2-174663-2.html.csv,AC,TRUE,
2-17290101-4.html.csv,none,TRUE,
2-10826072-21.html.csv,none,TRUE,
2-10790397-10.html.csv,none,TRUE,
2-161972-5.html.csv,AC,TRUE,
2-1846235-1.html.csv,none,TRUE,
2-1050189-1.html.csv,none,TRUE,
2-18762971-2.html.csv,AC,TRUE,
2-1114755-1.html.csv,AC,TRUE,
2-15008664-2.html.csv,AC,TRUE,
2-1507431-4.html.csv,none,TRUE,
2-11713403-3.html.csv,none,TRUE,
2-17371135-8.html.csv,AC,TRUE,
2-18648572-1.html.csv,none,TRUE,
2-17064421-1.html.csv,AC,TRUE,
2-18499677-12.html.csv,AC,TRUE,
2-15753390-1.html.csv,AC,TRUE,
2-153162-1.html.csv,none,TRUE,
2-16740136-1.html.csv,AC,TRUE,
2-1122039-1.html.csv,AC,TRUE,
2-10750694-19.html.csv,none,TRUE,
2-15378820-1.html.csv,none,TRUE,
2-10789881-10.html.csv,none,TRUE,
2-14344570-5.html.csv,none,TRUE,
2-16142610-11.html.csv,AC,TRUE,
2-17325580-10.html.csv,none,TRUE,
2-12614827-2.html.csv,AC,TRUE,
2-15387537-1.html.csv,none,TRUE,
2-14320222-6.html.csv,none,TRUE,
2-1169552-16.html.csv,none,TRUE,
2-10784349-18.html.csv,none,TRUE,
2-10310098-2.html.csv,FM,FALSE,
2-12450336-19.html.csv,none,TRUE,
2-10647639-1.html.csv,none,TRUE,
2-1706942-1.html.csv,none,TRUE,
2-1140522-3.html.csv,none,TRUE,
2-17832085-4.html.csv,FM,FALSE,
1-29294042-48.html.csv,FM,FALSE,
2-14959598-9.html.csv,AC,TRUE,
2-15524351-5.html.csv,none,TRUE,
2-10220460-2.html.csv,AC,TRUE,
2-15647838-3.html.csv,AR,TRUE,
2-10774891-18.html.csv,none,TRUE,
2-14369924-1.html.csv,none,TRUE,
2-15663132-1.html.csv,none,TRUE,
2-12207528-5.html.csv,AC,TRUE,
2-14662246-5.html.csv,FM,FALSE,
2-1269400-1.html.csv,none,TRUE,
2-14057447-9.html.csv,AC,TRUE,
2-12794433-3.html.csv,none,TRUE,
2-10361861-2.html.csv,AC,TRUE,
2-16326318-1.html.csv,AC,TRUE,
2-10773616-16.html.csv,none,TRUE,
2-13913673-2.html.csv,AC,TRUE,
2-14583258-3.html.csv,none,TRUE,
2-11873099-17.html.csv,AC,TRUE,
2-1100124-1.html.csv,AC,TRUE,
2-1503551-1.html.csv,AC,TRUE,
2-17162268-2.html.csv,AC,TRUE,
2-17786294-1.html.csv,none,TRUE,
2-11048203-1.html.csv,AC,TRUE,
2-17324893-3.html.csv,none,TRUE,
2-1122654-1.html.csv,AC,TRUE,
2-18017936-2.html.csv,AC,TRUE,
2-17637041-2.html.csv,none,TRUE,
2-17944591-1.html.csv,AC,TRUE,
2-15179545-1.html.csv,none,TRUE,
2-10660136-4.html.csv,AC,TRUE,
2-18813729-2.html.csv,none,TRUE,
2-12446715-4.html.csv,AC,TRUE,
2-12209065-5.html.csv,AC,TRUE,
2-10167122-1.html.csv,AC,TRUE,
2-17140608-10.html.csv,none,TRUE,
2-11677760-10.html.csv,none,TRUE,
2-10669284-1.html.csv,AC,TRUE,
2-17100961-62.html.csv,none,TRUE,
1-2850912-3.html.csv,none,TRUE,
2-10637415-3.html.csv,AC,TRUE,
2-18700010-1.html.csv,AC,TRUE,
2-14202514-1.html.csv,none,TRUE,
1-27755784-10.html.csv,none,TRUE,
1-24028176-2.html.csv,AR,TRUE,
2-11097420-1.html.csv,none,TRUE,
2-1103715-1.html.csv,none,TRUE,
2-10788451-9.html.csv,none,TRUE,
2-11450911-2.html.csv,AC,TRUE,
2-18255941-6.html.csv,none,TRUE,
2-18662679-3.html.csv,none,TRUE,
2-1230478-2.html.csv,AC,TRUE,
2-16912111-3.html.csv,none,TRUE,
2-10776330-12.html.csv,none,TRUE,
2-16570286-3.html.csv,none,TRUE,
1-28298589-4.html.csv,AR,TRUE,
1-2482547-5.html.csv,AR,TRUE,
2-13745048-3.html.csv,AC,TRUE,
2-16176685-4.html.csv,AC,TRUE,
2-12367921-7.html.csv,AC,TRUE,
2-10656107-1.html.csv,none,TRUE,
2-14749151-1.html.csv,none,TRUE,
2-12988799-9.html.csv,none,TRUE,
2-15220147-3.html.csv,none,TRUE,
2-11452830-2.html.csv,AC,TRUE,
2-1139087-2.html.csv,none,TRUE,
2-16376436-4.html.csv,none,TRUE,
2-11511365-6.html.csv,AC,TRUE,
1-28243691-1.html.csv,AR,TRUE,
2-16287116-2.html.csv,AC,TRUE,
2-18607260-13.html.csv,AC,TRUE,
2-18772558-9.html.csv,FM,FALSE,Out of date
2-1385081-3.html.csv,none,TRUE,
2-17599325-1.html.csv,none,TRUE,
2-18842944-2.html.csv,none,TRUE,
2-11756731-10.html.csv,AC,TRUE,
2-10746808-7.html.csv,none,TRUE,
2-1570274-4.html.csv,AC,TRUE,
2-17455843-5.html.csv,AC,TRUE,
2-17991356-3.html.csv,AC,TRUE,
2-17290150-5.html.csv,none,TRUE,
2-10869646-20.html.csv,none,TRUE,
